date,temperature,precipitation,wind_speed
2016-01-01,2.8,0.0,26.7
2016-01-02,2.6,0.0,24.5
2016-01-03,2.9,6.3,24.5
2016-01-04,-4.2,0.4,18.0
2016-01-05,-3.8,0.0,10.4
2016-01-06,-1.8,0.5,19.6
2016-01-07,-1.3,1.3,16.8
2016-01-08,-1.7,0.9,15.5
2016-01-09,0.3,0.0,25.9
2016-01-10,2.8,3.0,18.7
2016-01-11,0.9,11.8,24.7
2016-01-12,1.5,0.0,24.8
2016-01-13,-0.1,0.0,19.3
2016-01-14,0.3,0.0,21.5
2016-01-15,2.4,0.0,13.7
2016-01-16,1.9,0.9,22.5
2016-01-17,-2.7,0.0,18.7
2016-01-18,-3.2,0.0,17.8
2016-01-19,-3.1,0.0,24.7
2016-01-20,-1.9,0.0,27.1
2016-01-21,-1.6,0.0,21.6
2016-01-22,-3.5,0.0,13.8
2016-01-23,-2.9,0.0,12.8
2016-01-24,-0.0,0.0,17.8
2016-01-25,0.6,0.0,19.7
2016-01-26,-0.7,4.0,14.8
2016-01-27,-2.7,0.8,18.4
2016-01-28,-5.6,0.0,10.8
2016-01-29,-4.5,0.0,11.8
2016-01-30,-2.2,0.5,26.4
2016-01-31,-0.5,1.4,24.9
2016-02-01,-1.2,1.2,12.0
2016-02-02,-1.1,0.0,17.0
2016-02-03,-0.1,0.0,14.7
2016-02-04,-0.5,0.0,19.2
2016-02-05,1.4,0.0,17.0
2016-02-06,2.5,0.0,12.0
2016-02-07,5.2,0.0,19.1
2016-02-08,0.1,0.0,20.6
2016-02-09,-4.3,0.0,19.4
2016-02-10,-5.2,0.0,20.4
2016-02-11,-4.4,0.0,24.3
2016-02-12,-4.3,0.0,23.5
2016-02-13,-3.5,0.0,13.7
2016-02-14,-1.7,0.0,16.1
2016-02-15,-3.3,0.0,11.8
2016-02-16,-5.0,0.0,9.5
2016-02-17,-3.3,0.0,13.7
2016-02-18,-0.1,0.0,19.9
2016-02-19,0.2,0.0,21.4
2016-02-20,2.4,0.2,15.7
2016-02-21,2.8,0.0,15.0
2016-02-22,3.7,0.0,14.1
